[05-Jul-2015 01:34:44 America/Buenos_Aires] PHP Fatal error:  Cannot unset string offsets in C:\Servidor\ClaudiaCollections\compras\eliminar.php on line 22
[05-Jul-2015 01:48:49 America/Buenos_Aires] PHP Warning:  Missing argument 3 for precioFinalCarrito(), called in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 98 and defined in C:\Servidor\ClaudiaCollections\catalogo\funciones_catalogo.php on line 714
[05-Jul-2015 01:48:49 America/Buenos_Aires] PHP Notice:  Undefined variable: db in C:\Servidor\ClaudiaCollections\catalogo\funciones_catalogo.php on line 723
[05-Jul-2015 01:48:49 America/Buenos_Aires] PHP Fatal error:  Call to a member function Execute() on a non-object in C:\Servidor\ClaudiaCollections\catalogo\funciones_catalogo.php on line 723
[05-Jul-2015 01:49:14 America/Buenos_Aires] PHP Notice:  Undefined offset: 1 in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 102
[05-Jul-2015 01:49:14 America/Buenos_Aires] PHP Notice:  Undefined offset: 2 in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 102
[05-Jul-2015 01:49:14 America/Buenos_Aires] PHP Notice:  Undefined offset: 1 in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 102
[05-Jul-2015 01:49:14 America/Buenos_Aires] PHP Notice:  Undefined offset: 2 in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 102
[05-Jul-2015 01:49:15 America/Buenos_Aires] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 178
[05-Jul-2015 01:49:16 America/Buenos_Aires] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 180
[05-Jul-2015 01:50:55 America/Buenos_Aires] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 182
[05-Jul-2015 01:50:56 America/Buenos_Aires] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 184
[05-Jul-2015 02:08:15 America/Buenos_Aires] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 182
[05-Jul-2015 02:08:16 America/Buenos_Aires] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\Servidor\ClaudiaCollections\compras\confirmar_pedido.php on line 184
